NCTId,BriefTitle,Condition,EligibilityCriteria,Location,StudyType,OverallStatus,HasResults
NCT06043583,Intrauterine Device Versus Uterine Artery Embolization for Adenomyosis,['Adenomyosis'],"Inclusion Criteria:

1. Women with symptomatic fibroids (age: 19 - 48 years old) 2. Hemglobin \< 12g/dL, 3. Symptoms of adenomysis (Menorrhagia, Dysmenorrhea)

Exclusion Criteria:

1. Gynecologic malignancy 2. Ongoing infection or inflammation 3. Coagulopathy (platelet \< 50,000 or INR \> 1.5) 4. Concomitant endometriosis 5. Pregnancy","['Korea, Republic of']",INTERVENTIONAL,RECRUITING,False
NCT04791033,Quality of Life After Hysterectomy (AdenoQOL),"['Adenomyosis', 'Quality of Life']","Inclusion Criteria:

* Premenopausal status defined by having had menstruation within the last 12 months, or age \< 50 years if amenorrhea due to hormonal treatment
* Hysterectomy planned due to a benign condition
* Able to communicate in Norwegian or English
* Electronic consent given

Exclusion Criteria:

* Age \< 18 years, postmenopausal status or no menstrual bleeding for the last 12 months
* Hysterectomy as part of female-to-male transition
* Pelvic organ prolapse as an indication for hysterectomy
* Gynecological cancer suspected at the time of inclusion
* Not able to communicate in Norwegian or English",['Norway'],OBSERVATIONAL,ACTIVE_NOT_RECRUITING,False
NCT02495311,The Association Between Adenomyosis/Uterine Myoma and Lower Urinary Tract Symptoms,"['Adenomyosis', 'Uterine Leiomyoma']","\<Women with myoma or adenomyosis\>

Inclusion Criteria:

1. \>20 years old.
2. Myoma: women with \>3 cm uterine myoma
3. Adenomyosis: women with uterus having several dark area (lacunar areas) in one uterine wall or thickening uterine wall

\<The control group\>

Inclusion criteria:

1. \>20 years old.
2. Women without myoma or adenomyosis

\<Both groups\>

Exclusion Criteria:

1. The patient has a lower urinary tract infection or acute intestinal inflammation.
2. Previous surgery for the bladder or urethra.
3. History of urinary tract stones or tumors.","['New Taipei, Taiwan']",OBSERVATIONAL,RECRUITING,False
NCT06795711,Validation and Optimisation of Ultrasound Diagnosis of Adenomyosis,['Adenomyosis'],"Inclusion Criteria:

* age between 18 and 60;
* obtaining informed consent

Exclusion Criteria:

* Hysterectomised patients;
* Virgo patients (hymenal integrity);
* Patients reporting intolerance to transvaginal ultrasound;
* Gynaecological oncology;
* Recent pregnancy or childbirth (within 6 months);
* Menopausal patients",['Italy'],OBSERVATIONAL,RECRUITING,False
NCT06652945,Efficacy of Uterine Artery Embolization (UAE) in Management of Symptomatic Uterine Adenomyosis,['Uterine Adenomyosis'],"Inclusion Criteria:

* Premenopausal women
* Symptomatic pure adenomyosis or dominant adenomyosis when both adenomyosis and fibroids coexist
* Women with an indication for hysterectomy (either failed or refused medical treatment).

Exclusion Criteria:

* Patients under 18 years of age,
* Patients with pelvic infection,
* Suspected or confirmed malignancy
* Current or future desire to conceive
* Deep infiltrating endometriosis requiring surgery or obstructing the bowel, or
* Coexisting hysteroscopically removable submucous fibroids
* Any absolute contraindication to angiography such as:
* hypersensitivity to intravenous contrast media,
* impaired coagulation profile or
* impaired renal function.",,INTERVENTIONAL,NOT_YET_RECRUITING,False
NCT06802198,A Randomized Study Comparing Subtotal vs Total Hysterectomy Long Term Outcomes,"['Fibroid Uterus', 'Metrorrhagia', 'Adenomyosis', 'Benign Gynecologic Neoplasm', 'Endometriosis', 'Abnormal Uterine Bleeding']","Inclusion Criteria:

* Age\>18 years
* Signed informed consent

Exclusion Criteria:

* Uterine or adnexal pathology suspect for malignancy
* Abnormal or unknown PAP test
* Patients with invasive neoplasia in the previous 5 years (excluding non-melanoma skin tumors, breast cancer T1 N0 M0 Grade 1 or 2 without signs of recurrence or activity).
* Previous radical pelvic surgery or radiotherapy;
* Age \> 80 years
* Pregnant patients
* Desire for further pregnancies
* Contraindications to general anaesthesia or to the Trendelenburg position
* Refusal to sign informed consent","['Lazio, Italy']",INTERVENTIONAL,NOT_YET_RECRUITING,False
NCT06663553,Comparing the Efficacy of TU-LESS and VNOTES for Hysterectomy of Enlarged Uterus,"['Enlarged Uterus', 'Adenomyosis', 'Uterine Fibroids (UF)']","Inclusion Criteria:

* Eligible women aged 18-70 years.
* Women with indications for enlarged uterine volumes who are planning to under go total hysterectomy.
* Patients are willing to be randomly assigned to undergo any of both approaches.
* Patients who are willing to sign the informed consent form.

Exclusion Criteria:

* Individuals who are virgins or have vaginal stenosis.
* Patients requiring concurrent surgical intervention for conditions such as ovarian cysts or lesions of the vulva, vagina, appendix, etc.
* Presence of malignancy or strong suspicion of malignancy that may alter the planned surgical approach.
* History of two or more pelvic surgeries or suspected severe pelvic adhesions (rectovaginal examination suggesting rectovaginal endometriosis or limited uterine mobility).
* History of peritoneal dialysis, pelvic radiation therapy and pelvic tuberculosis treated with laparoscopic surgery.
* Uterine size exceeding that of a 3-month pregnancy (ultrasound indicates that the maximum uterine diameter line is greater than 12cm).
* Patients with prolapse or pelvic inflammation.
* Diabetes mellitus with poor blood glucose control.
* Body mass index greater than 30 kg/m².","['Sichuan, China']",INTERVENTIONAL,NOT_YET_RECRUITING,False
NCT06211231,MY-ENDO -- Mind Your ENDOmetriosis: a Digital Mindfulness- and Acceptance-based Endometriosis Self-management Program,['Endometriosis'],"Inclusion Criteria:

* ≥18 years old.
* Signed informed consent.
* Endometriosis diagnosed by a gynecologist based on the medical case history, ultrasound, laparoscopy, or MRI (all self-reported).
* Moderate to severe symptoms (pelvic pain and/or fatigue measured on an 11-point numeric rating scale (NRS) from 0 = no pain/fatigue to 10 = worst imaginable pain/fatigue symptom) or reduced endometriosis-related quality of life (measured by the EHP-30):
* Moderate to severe endometriosis-related chronic pelvic pain (NRS \> 2) or
* Moderate to severe endometriosis-related fatigue (NRS \> 2) or
* Low endometriosis-related quality of life (one or more EHP-30 subscale mean scores ≥ 40.00).
* Relevant clinical and/or surgical treatment according to the European Society of Human Reproduction and Embryology (ESHRE) guidelines for endometriosis has been attempted.
* Willingness to practice mindfulness and yoga at home for 30-45 minutes 5-7 days a week during the treatment period.

Exclusion Criteria:

* Under 18 years old.
* Severe psychiatric diagnosis made by a psychiatrist and/or ongoing psychiatric treatment.
* Pregnancy or planned pregnancy during the study period.
* An estimated lack of capacity or surplus energy to enter into a digital mindfulness treatment, for instance, because of:
* major life events taking place at the same time (e.g., divorce, loss of a close relative, etc.)
* linguistic or cultural barriers","['Central Jutland Region, Denmark', 'Denmark']",INTERVENTIONAL,RECRUITING,False
NCT05643131,Hyivy Device As Non-hormonal Therapy in Endometriosis,"['Endometriosis', 'Pelvic Pain']","Inclusion Criteria:

* 1.Age ≥ 18 at the time of enrollment
* 2.Generally in good health (other than due to endometriosis), at physician's discretion
* 3.Diagnosed with endometriosis (clinical, radiologic, or surgical)
* 4.Diagnosed with chronic pelvic pain (self-reported pain in pelvic area lasting \>3 months)
* 5.VAS for overall pelvic pain ≥ 4 at screening and baseline
* 6.Medically managing endometriosis using continuous hormonal medications (i.e., oral contraceptive pills, progesterone only pills, Mirena, GnRH agonists/antagonists) for at least 3 months prior to enrollment
* 7.Agrees not to commence any new treatments (medical or physical therapies) for the 12-week intervention period, including hormonal therapies for any medical condition, and complimentary and/or alternative management of surgery for endometriosis and associated chronic pain
* 8.Agrees not to undergo pelvic physiotherapy with a trained professional during the study
* 9.Agrees to avoid taking non-steroidal anti-inflammatory drugs (e.g., ibuprofen) for 72 hours before Visits 1, 2, and 3
* 10.Must have the ability to charge the investigational device
* 11.Must be willing and able to insert intravaginal device
* 12.Able to understand, comply and consent to protocol requirements and instructions
* 13.Able to attend scheduled study visits and complete required investigations

Exclusion Criteria:

* 1.Chronic pelvic pain thought to be due to a condition other than endometriosis
* 2.Diagnosis of premature ovarian insufficiency
* 3.Any other medical condition or clinical finding giving reasonable suspicion of a disease or condition that contraindicates the use of the investigational product or that may affect the interpretation of the results or leave the patient at high risk from treatment complications, at the discretion of the investigator(s)
* 4.Any surgery in the past 3 months or anticipates having surgery during the study
* 5.Allergy to Hyivy device's materials
* 6.Active vaginal infection (e.g. vulvovaginal candidiasis, trichomonas vaginitis, bacterial vaginosis, STIs) or infection in the pelvic area
* 7.Current use of antibiotics and a history of vulvovaginal candidiasis
* 8.Pregnant or lactating
* 9.Currently under the care of a pelvic floor physiotherapist
* 10.Have open wounds, cuts, or open sores present in vaginal or pelvic area
* 11.Severe atrophic vaginitis or very dry, itchy, or sore vagina/vaginal area, at the discretion of the primary investigator(s)
* 12.Hypoesthesia or loss in sensation of the pelvic floor
* 13.Total and/or partial prolapse of the uterus and/or vagina
* 14.Symptoms of severe urinary retention, severe extra-urethral incontinence or overflow incontinence
* 15.Unable to position the device according to directions for use
* 16.Use of any medical devices that may interfere with the investigational device's function, such as pacemakers, ventilators, and ear implants","['Ontario, Canada']",INTERVENTIONAL,NOT_YET_RECRUITING,False
NCT05059626,Endometriosis and Microvascular Dysfunction; Simvastatin and Duavee,['Endometriosis'],"Inclusion Criteria:

* Women between the ages of 18 and 45 years with endometriosis (diagnosis by prior laparoscopy by subject's own physician \<10 years prior, and reported by the subject to the researchers)
* Tylenol if the subject has acute pain is allowed
* IUD contraceptive use (copper or levonogestrel) is allowed

Exclusion Criteria:

* Use of nicotine-containing products (e.g. smoking, chewing tobacco, etc.)
* Diabetes (HbA1C .6.5%)
* BP\>140/90
* Taking pharmacotherapy that could alter peripheral vascular control (e.g. insulin sensitizing, cardiovascular medications)
* Pregnancy
* Breastfeeding
* Taking illicit and/or recreational drugs
* Abnormal liver function
* Rash, skin disease, disorders of pigmentation, known skin allergies
* Diagnosed or suspected metabolic or cardiovascular disease
* Persistent unexplained elevations of serum transaminases
* Known allergy to latex or investigative substances","['Connecticut, United States']",INTERVENTIONAL,RECRUITING,False
NCT06577974,Role of Medical Treatment in Endometriosis Patients Undergoing ICSI,['Endometriosis'],"Inclusion Criteria:

* Presence of Endometrioma on ultrasound.
* History of ovarian cystectomy either open or via laparoscopic surgery.
* Presence of endometriotic foci in the pelvis during laparoscopic surgery.
* Patients coming for the first ICSI / IVF cycle.

Exclusion Criteria:

* Age above 40 years
* Cases with endometrioma on ultrasound more than 3 cm size.
* Prior failed ICSI / IVF.
* Known poor responders or poor ovarian reserve, defined as AFC\<5 or AMH \< 0.5 .
* Patients with previous uterine surgery.
* Patients diagnosed to have uterine abnormalities","['Egypt', 'Egypt']",INTERVENTIONAL,RECRUITING,False
